,sentences
1321,"['The', 'splice-site', 'mutations', 'led', 'to', 'exon', 'skipping', 'or', 'utilization', 'of', 'cryptic', 'acceptor-splice', 'sites']"
1322,"['Thirty-seven', 'mutations', 'were', 'private', ',', 'and', '12', 'mutations', 'were', 'seen', 'in', 'two', 'or', 'more', 'probands', 'of', 'European', 'or', 'Middle', 'Eastern', 'descent']"
1323,"['Four', 'single-nucleotide', 'polymorphisms', '(', 'SNPs', ')', 'were', 'found', 'in', 'the', 'FALDH', 'gene']"
1324,"['At', 'least', 'four', 'of', 'the', 'common', 'mutations', '(', '551C--', '>', 'T', ',', '682C--', '>', 'T', ',', '733G--', '>', 'A', ',', 'and', '798', '+', '1delG', ')', 'were', 'associated', 'with', 'multiple', 'SNP', 'haplotypes', ',', 'suggesting', 'that', 'these', 'mutations', 'originated', 'independently', 'on', 'more', 'than', 'one', 'occasion', 'or', 'were', 'ancient', 'SLS', 'genes', 'that', 'had', 'undergone', 'intragenic', 'recombination']"
1325,"['Our', 'results', 'demonstrate', 'that', 'SLS', 'is', 'caused', 'by', 'a', 'strikingly', 'heterogeneous', 'group', 'of', 'mutations', 'in', 'the', 'FALDH', 'gene', 'and', 'provide', 'a', 'framework', 'for', 'understanding', 'the', 'genetic', 'basis', 'of', 'SLS', 'and', 'the', 'development', 'of', 'DNA-based', 'diagnostic', 'tests']"
1326,[]
1327,"['Loss-of-function', 'mutations', 'in', 'the', 'cathepsin', 'C', 'gene', 'result', 'in', 'periodontal', 'disease', 'and', 'palmoplantar', 'keratosis']"
1328,"['Papillon-Lefevre', 'syndrome', ',', 'or', 'keratosis', 'palmoplantaris', 'with', 'periodontopathia', '(', 'PLS', ',', 'MIM', '245000', ')', ',', 'is', 'an', 'autosomal', 'recessive', 'disorder', 'that', 'is', 'mainly', 'ascertained', 'by', 'dentists', 'because', 'of', 'the', 'severe', 'periodontitis', 'that', 'afflicts', 'patients']"
1329,"['Both', 'the', 'deciduous', 'and', 'permanent', 'dentitions', 'are', 'affected', ',', 'resulting', 'in', 'premature', 'tooth', 'loss']"
1330,"['Palmoplantar', 'keratosis', ',', 'varying', 'from', 'mild', 'psoriasiform', 'scaly', 'skin', 'to', 'overt', 'hyperkeratosis', ',', 'typically', 'develops', 'within', 'the', 'first', 'three', 'years', 'of', 'life']"
1331,"['Keratosis', 'also', 'affects', 'other', 'sites', 'such', 'as', 'elbows', 'and', 'knees']"
1332,"['Most', 'PLS', 'patients', 'display', 'both', 'periodontitis', 'and', 'hyperkeratosis']"
1333,"['Some', 'patients', 'have', 'only', 'palmoplantar', 'keratosis', 'or', 'periodontitis', ',', 'and', 'in', 'rare', 'individuals', 'the', 'periodontitis', 'is', 'mild', 'and', 'of', 'late', 'onset']"
1334,"['The', 'PLS', 'locus', 'has', 'been', 'mapped', 'to', 'chromosome', '11q14-q21', '(', 'refs', '7', ',', '8', ',', '9', ')']"
1335,"['Using', 'homozygosity', 'mapping', 'in', 'eight', 'small', 'consanguineous', 'families', ',', 'we', 'have', 'narrowed', 'the', 'candidate', 'region', 'to', 'a', '1']"
1336,"['2-cM', 'interval', 'between', 'D11S4082', 'and', 'D11S931']"
1337,"['The', 'gene', '(', 'CTSC', ')', 'encoding', 'the', 'lysosomal', 'protease', 'cathepsin', 'C', '(', 'or', 'dipeptidyl', 'aminopeptidase', 'I', ')', 'lies', 'within', 'this', 'interval']"
1338,"['We', 'defined', 'the', 'genomic', 'structure', 'of', 'CTSC', 'and', 'found', 'mutations', 'in', 'all', 'eight', 'families']"
1339,"['In', 'two', 'of', 'these', 'families', 'we', 'used', 'a', 'functional', 'assay', 'to', 'demonstrate', 'an', 'almost', 'total', 'loss', 'of', 'cathepsin', 'C', 'activity', 'in', 'PLS', 'patients', 'and', 'reduced', 'activity', 'in', 'obligate', 'carriers']"
1340,"['Confirmation', 'of', 'linkage', 'of', 'Van', 'der', 'Woude', 'syndrome', 'to', 'chromosome', '1q32:', 'evidence', 'of', 'association', 'with', 'STR', 'alleles', 'suggests', 'possible', 'unique', 'origin', 'of', 'the', 'disease', 'mutation.', 'Van', 'der', 'Woude', 'syndrome', '(', 'VWS', ')', 'is', 'an', 'autosomal', 'dominant', 'craniofacial', 'disorder', 'with', 'high', 'penetrance', 'and', 'variable', 'expression']"
1341,"['Its', 'clinical', 'features', 'are', 'variably', 'expressed', ',', 'but', 'include', 'cleft', 'lip', 'and', '/', 'or', 'cleft', 'palate', ',', 'lip', 'pits', 'and', 'hypodontia']"
1342,"['All', 'VWS', 'families', 'studied', 'to', 'date', 'map', 'the', 'disease', 'gene', 'to', 'a', '<', '2', 'cM', 'region', 'of', 'chromosome', '1q32', ',', 'with', 'no', 'evidence', 'of', 'locus', 'heterogeneity']"
1343,"['The', 'aim', 'of', 'this', 'study', 'is', 'to', 'refine', 'the', 'localization', 'of', 'the', 'VWS', 'gene', 'and', 'to', 'further', 'assess', 'possible', 'heterogeneity']"
1344,"['We', 'analyzed', 'four', 'multiplex', 'VWS', 'families']"
1345,"['All', 'available', 'members', 'were', 'clinically', 'assessed', 'and', 'genotyped', 'for', '19', 'short', 'tandem', 'repeat', 'markers', 'on', 'chromosome', '1', 'in', 'the', 'VWS', 'candidate', 'gene', 'region']"
1346,"['We', 'performed', 'two-point', 'and', 'multipoint', 'limit', 'of', 'detection', '(', 'LOD', ')', 'score', 'analyses', 'using', 'a', 'high', 'penetrance', 'autosomal', 'dominant', 'model']"
1347,"['All', 'families', 'showed', 'positive', 'LOD', 'scores', 'without', 'any', 'recombination', 'in', 'the', 'candidate', 'region']"
1348,"['The', 'largest', 'two-point', 'LOD', 'score', 'was', '5']"
1349,"['87', '87']"
1350,"['Our', 'assay', 'method', 'for', 'short', 'tandem', 'repeat', '(', 'STR', ')', 'markers', 'provided', 'highly', 'accurate', 'size', 'estimation', 'of', 'marker', 'allele', 'fragment', 'sizes', ',', 'and', 'therefore', 'enabled', 'us', 'to', 'determine', 'the', 'specific', 'alleles', 'segregating', 'with', 'the', 'VWS', 'gene', 'in', 'each', 'of', 'our', 'four', 'families']"
1351,"['We', 'observed', 'a', 'striking', 'pattern', 'of', 'STR', 'allele', 'sharing', 'at', 'several', 'closely', 'linked', 'loci', 'among', 'our', 'four', 'Caucasian', 'VWS', 'families', 'recruited', 'at', 'three', 'different', 'locations', 'in', 'the', 'US']"
1352,"['These', 'results', 'suggest', 'the', 'possibility', 'of', 'a', 'unique', 'origin', 'for', 'a', 'mutation', 'responsible', 'for', 'many', 'or', 'most', 'cases', 'of', 'VWS']"
1353,"['A', 'point', 'mutation', 'Thr(799)Met', 'on', 'the', 'alpha(2)', 'integrin', 'leads', 'to', 'the', 'formation', 'of', 'new', 'human', 'platelet', 'alloantigen', 'Sit(a)', 'and', 'affects', 'collagen-induced', 'aggregation.', 'A', 'new', 'platelet-specific', 'alloantigen', ',', 'termed', 'Sit', '(', 'a', ')', ',', 'was', 'identified', 'in', 'a', 'severe', 'case', 'of', 'neonatal', 'alloimmune', 'thrombocytopenia']"
1354,"['The', 'Sit', '(', 'a', ')', 'alloantigen', 'is', 'of', 'low', 'frequency', '(', '1', '/', '400', ')', 'in', 'the', 'German', 'population']"
1355,"['Immunochemical', 'studies', 'demonstrated', 'that', 'the', 'Sit', '(', 'a', ')', 'epitopes', 'reside', 'on', 'platelet', 'glycoprotein', '(', 'GP', ')', 'Ia']"
1356,"['Nucleotide', 'sequence', 'analysis', 'of', 'GPIa', 'cDNA', 'derived', 'from', 'Sit', '(', 'a', ')', '-positive', 'platelets', 'showed', 'C', '(', '2531', ')', '--', '>', 'T', '(', '2531', ')', 'point', 'mutation', ',', 'resulting', 'in', 'Thr', '(', '799', ')', 'Met', 'dimorphism']"
1357,"['Analysis', 'of', 'genomic', 'DNA', 'from', '22', 'Sit', '(', 'a', ')', '-negative', 'normal', 'individuals', 'showed', 'that', 'the', 'Thr', '(', '799', ')', 'is', 'encoded', 'by', 'ACG', '(', '2532', ')', '(', '90']"
1358,"['9', '%', ')', 'or', 'ACA', '(', '2532', ')', '(', '9']"
1359,"['1', '%', ')']"
1360,"['To', 'establish', 'a', 'DNA', 'typing', 'technique', ',', 'we', 'elucidated', 'the', 'organization', 'of', 'the', 'GPIa', 'gene', 'adjacent', 'to', 'the', 'polymorphic', 'bases']"
1361,"['The', 'introns', '(', '421', 'bp', 'and', '1']"
1362,"['2', 'kb', ')', 'encompass', 'a', '142-bp', 'exon', 'with', 'the', '2', 'polymorphic', 'bases', '2531', 'and', '2532']"
1363,"['Polymerase', 'chain', 'reaction-restriction', 'fragment', 'length', 'polymorphism', 'analysis', 'on', 'DNA', 'derived', 'from', '100', 'donors', 'using', 'the', 'restriction', 'enzyme', 'Mae', 'III', 'showed', 'that', 'the', 'Met', '(', '799', ')', 'form', 'of', 'GPIa', 'is', 'restricted', 'to', 'Sit', '(', 'a', ')', '(', '+', ')', 'phenotype']"
1364,"['Analysis', 'of', 'stable', 'Chinese', 'hamster', 'ovary', 'transfectants', 'expressing', 'allele-specific', 'recombinant', 'forms', 'of', 'GPIa', 'showed', 'that', 'anti-Sit', '(', 'a', ')', 'exclusively', 'reacted', 'with', 'the', 'Glu', '(', '505', ')', 'Met', '(', '799', ')', ',', 'but', 'not', 'with', 'the', 'Glu', '(', '505', ')', 'Thr', '(', '799', ')', 'and', 'the', 'Lys', '(', '505', ')', 'Thr', '(', '799', ')', 'isoforms']"
1365,"['In', 'contrast', ',', 'anti-Br', '(', 'a', ')', '(', 'HPA-5b', ')', 'only', 'recognized', 'the', 'Lys', '(', '505', ')', 'Thr', '(', '799', ')', 'form', ',', 'whereas', 'anti-Br', '(', 'b', ')', '(', 'HPA-5a', ')', 'reacted', 'with', 'both', 'Glu', '(', '505', ')', 'Thr', '(', '799', ')', 'and', 'Glu', '(', '505', ')', 'Met', '(', '799', ')', 'isoforms']"
1366,"['These', 'results', 'demonstrated', 'that', 'the', 'Met', '(', '799', ')', 'is', 'responsible', 'for', 'formation', 'of', 'the', 'Sit', '(', 'a', ')', 'alloantigenic', 'determinants', ',', 'whereas', 'amino', 'acid', '505', '(', 'Lys', 'or', 'Glu', ')', 'specifically', 'controls', 'the', 'expression', 'of', 'Br', '(', 'a', ')', 'and', 'Br', '(', 'b', ')', 'epitopes', ',', 'respectively']"
1367,"['Platelet', 'aggregation', 'responses', 'of', 'Sit', '(', 'a', ')', '(', '+', ')', 'individuals', 'were', 'diminished', 'in', 'response', 'to', 'collagen', ',', 'indicating', 'that', 'the', 'Thr', '(', '799', ')', 'Met', 'mutation', 'affects', 'the', 'function', 'of', 'the', 'GPIa', '/', 'IIa', 'complex', 'Mutations', 'of', 'the', 'cathepsin', 'C', 'gene', 'are', 'responsible', 'for', 'Papillon-Lefevre', 'syndrome']"
1368,"['Papillon-Lefevre', 'syndrome', '(', 'PLS', ')', 'is', 'an', 'autosomal', 'recessive', 'disorder', 'characterised', 'by', 'palmoplantar', 'hyperkeratosis', 'and', 'severe', 'early', 'onset', 'periodontitis', 'that', 'results', 'in', 'the', 'premature', 'loss', 'of', 'the', 'primary', 'and', 'secondary', 'dentitions']"
1369,"['A', 'major', 'gene', 'locus', 'for', 'PLS', 'has', 'been', 'mapped', 'to', 'a', '2']"
1370,"['8', 'cM', 'interval', 'on', 'chromosome', '11q14']"
1371,"['Correlation', 'of', 'physical', 'and', 'genetic', 'maps', 'of', 'this', 'interval', 'indicate', 'it', 'includes', 'at', 'least', '40', 'ESTs', 'and', 'six', 'known', 'genes', 'including', 'the', 'lysosomal', 'protease', 'cathepsin', 'C', 'gene', '(', 'CTSC', ')']"
1372,"['The', 'CTSC', 'message', 'is', 'expressed', 'at', 'high', 'levels', 'in', 'a', 'variety', 'of', 'immune', 'cells', 'including', 'polymorphonuclear', 'leucocytes', ',', 'macrophages', ',', 'and', 'their', 'precursors']"
1373,"['By', 'RT-PCR', ',', 'we', 'found', 'CTSC', 'is', 'also', 'expressed', 'in', 'epithelial', 'regions', 'commonly', 'affected', 'by', 'PLS', ',', 'including', 'the', 'palms', ',', 'soles', ',', 'knees', ',', 'and', 'oral', 'keratinised', 'gingiva']"
1374,"['The', '4']"
1375,"['7', 'kb', 'CTSC', 'gene', 'consists', 'of', 'two', 'exons']"
1376,"['Sequence', 'analysis', 'of', 'CTSC', 'from', 'subjects', 'affected', 'with', 'PLS', 'from', 'five', 'consanguineous', 'Turkish', 'families', 'identified', 'four', 'different', 'mutations']"
1377,"['An', 'exon', '1', 'nonsense', 'mutation', '(', '856C--', '>', 'T', ')', 'introduces', 'a', 'premature', 'stop', 'codon', 'at', 'amino', 'acid', '286']"
1378,"['Three', 'exon', '2', 'mutations', 'were', 'identified', ',', 'including', 'a', 'single', 'nucleotide', 'deletion', '(', '2692delA', ')', 'of', 'codon', '349', 'introducing', 'a', 'frameshift', 'and', 'premature', 'termination', 'codon', ',', 'a', '2', 'bp', 'deletion', '(', '2673-2674delCT', ')', 'that', 'results', 'in', 'introduction', 'of', 'a', 'stop', 'codon', 'at', 'amino', 'acid', '343', ',', 'and', 'a', 'G--', '>', 'A', 'substitution', 'in', 'codon', '429', '(', '2931G--', '>', 'A', ')', 'introducing', 'a', 'premature', 'termination', 'codon']"
1379,"['All', 'PLS', 'patients', 'were', 'homozygous', 'for', 'cathepsin', 'C', 'mutations', 'inherited', 'from', 'a', 'common', 'ancestor']"
1380,"['Parents', 'and', 'sibs', 'heterozygous', 'for', 'cathepsin', 'C', 'mutations', 'do', 'not', 'show', 'either', 'the', 'palmoplantar', 'hyperkeratosis', 'or', 'severe', 'early', 'onset', 'periodontitis', 'characteristic', 'of', 'PLS']"
1381,"['A', 'more', 'complete', 'understanding', 'of', 'the', 'functional', 'physiology', 'of', 'cathepsin', 'C', 'carries', 'significant', 'implications', 'for', 'understanding', 'normal', 'and', 'abnormal', 'skin', 'development', 'and', 'periodontal', 'disease', 'susceptibility', 'Mutational', 'analysis', 'of', 'the', 'HGO', 'gene', 'in', 'Finnish', 'alkaptonuria', 'patients.', 'Alkaptonuria', '(', 'AKU', ')', ',', 'the', 'prototypic', 'inborn', 'error', 'of', 'metabolism', ',', 'has', 'recently', 'been', 'shown', 'to', 'be', 'caused', 'by', 'loss', 'of', 'function', 'mutations', 'in', 'the', 'homogentisate-1', ',', '2-dioxygenase', 'gene', '(', 'HGO', ')']"
1382,"['So', 'far', '17', 'mutations', 'have', 'been', 'characterised', 'in', 'AKU', 'patients', 'of', 'different', 'ethnic', 'origin']"
1383,"['We', 'describe', 'three', 'novel', 'mutations', '(', 'R58fs', ',', 'R330S', ',', 'and', 'H371R', ')', 'and', 'one', 'common', 'AKU', 'mutation', '(', 'M368V', ')', ',', 'detected', 'by', 'mutational', 'and', 'polymorphism', 'analysis', 'of', 'the', 'HGO', 'gene', 'in', 'five', 'Finnish', 'AKU', 'pedigrees']"
1384,"['The', 'three', 'novel', 'AKU', 'mutations', 'are', 'most', 'likely', 'specific', 'for', 'the', 'Finnish', 'population', 'and', 'have', 'originated', 'recently']"
1385,[]
1386,"['The', 'identical', ""5'"", 'splice-site', 'acceptor', 'mutation', 'in', 'five', 'attenuated', 'APC', 'families', 'from', 'Newfoundland', 'demonstrates', 'a', 'founder', 'effect.', 'Inherited', 'mutations', 'of', 'the', 'APC', 'gene', 'predispose', 'carriers', 'to', 'multiple', 'adenomatous', 'polyps', 'of', 'the', 'colon', 'and', 'rectum', 'and', 'to', 'colorectal', 'cancer']"
1387,"['Mutations', 'located', 'at', 'the', 'extreme', '5', 'end', 'of', 'the', 'APC', 'gene', ',', 'however', ',', 'are', 'associated', 'with', 'a', 'less', 'severe', 'disease', 'known', 'as', 'attenuated', 'adenomatous', 'polyposis', 'coli', '(', 'AAPC', ')']"
1388,"['Many', 'individuals', 'with', 'AAPC', 'develop', 'relatively', 'few', 'colorectal', 'polyps', 'but', 'are', 'still', 'at', 'high', 'risk', 'for', 'colorectal', 'cancer']"
1389,"['We', 'report', 'here', 'the', 'identification', 'of', 'a', '5', 'APC', 'germline', 'mutation', 'in', 'five', 'separately', 'ascertained', 'AAPC', 'families', 'from', 'Newfoundland', ',', 'Canada']"
1390,"['This', 'disease-causing', 'mutation', 'is', 'a', 'single', 'basepair', 'change', '(', 'G', 'to', 'A', ')', 'in', 'the', 'splice-acceptor', 'region', 'of', 'APC', 'intron', '3', 'that', 'creates', 'a', 'mutant', 'RNA', 'without', 'exon', '4', 'of', 'APC']"
1391,"['The', 'observation', 'of', 'the', 'same', 'APC', 'mutation', 'in', 'five', 'families', 'from', 'the', 'same', 'geographic', 'area', 'demonstrates', 'a', 'founder', 'effect']"
1392,"['Furthermore', ',', 'the', 'identification', 'of', 'this', 'germline', 'mutation', 'strengthens', 'the', 'correlation', 'between', 'the', '5', 'location', 'of', 'an', 'APC', 'disease-causing', 'mutation', 'and', 'the', 'attenuated', 'polyposis', 'phenotype']"
1393,[]
1394,"['Alstrom', 'syndrome', ':', 'further', 'evidence', 'for', 'linkage', 'to', 'human', 'chromosome', '2p13.', 'Alstrom', 'syndrome', 'is', 'a', 'rare', 'autosomal', 'recessive', 'disorder', 'characterized', 'by', 'retinal', 'degeneration', ',', 'sensorineural', 'hearing', 'loss', ',', 'early-onset', 'obesity', ',', 'and', 'non-insulin-dependent', 'diabetes', 'mellitus']"
1395,"['The', 'gene', 'for', 'Alstrom', 'syndrome', '(', 'ALMS1', ')', 'has', 'been', 'previously', 'localized', 'to', 'human', 'chromosome', '2p13', 'by', 'homozygosity', 'mapping', 'in', 'two', 'distinct', 'isolated', 'populations', '-', 'French', 'Acadian', 'and', 'North', 'African']"
1396,"['Pair-wise', 'analyses', 'resulted', 'in', 'maximum', 'lod', '(', 'logarithm', 'of', 'the', 'odds', 'ratio', ')', 'scores', 'of', '3']"
1397,"['84', 'and', '2']"
1398,"['9', ',', 'respectively']"
1399,"['To', 'confirm', 'these', 'findings', ',', 'a', 'large', 'linkage', 'study', 'was', 'performed', 'in', 'twelve', 'additional', 'families', 'segregating', 'for', 'Alstrom', 'syndrome']"
1400,"['A', 'maximum', 'two-point', 'lod', 'score', 'of', '7']"
1401,"['13', '(', 'theta', '=', '0']"
1402,"['00', ')', 'for', 'marker', 'D2S2110', 'and', 'a', 'maximum', 'cumulative', 'multipoint', 'lod', 'score', 'of', '9']"
1403,"['16', 'for', 'marker', 'D2S2110', 'were', 'observed', ',', 'further', 'supporting', 'linkage', 'to', 'chromosome', '2p13']"
1404,"['No', 'evidence', 'of', 'genetic', 'heterogeneity', 'was', 'observed', 'in', 'these', 'families']"
1405,"['Meiotic', 'recombination', 'events', 'have', 'localized', 'the', 'critical', 'region', 'containing', 'ALMS1', 'to', 'a', '6']"
1406,"['1-cM', 'interval', 'flanked', 'by', 'markers', 'D2S327', 'and', 'D2S286']"
1407,"['A', 'fine', 'resolution', 'radiation', 'hybrid', 'map', 'of', '31', 'genes', 'and', 'markers', 'has', 'been', 'constructed']"
1408,"['Pendred', 'syndrome', ':', 'phenotypic', 'variability', 'in', 'two', 'families', 'carrying', 'the', 'same', 'PDS', 'missense', 'mutation.', 'Pendred', 'syndrome', 'comprises', 'congenital', 'sensorineural', 'hearing', 'loss', ',', 'thyroid', 'goiter', ',', 'and', 'positive', 'perchlorate', 'discharge', 'test']"
1409,"['Recently', ',', 'this', 'autosomal', 'recessive', 'disorder', 'was', 'shown', 'to', 'be', 'caused', 'by', 'mutations', 'in', 'the', 'PDS', 'gene', ',', 'which', 'encodes', 'an', 'anion', 'transporter', 'called', 'pendrin']"
1410,"['Molecular', 'analysis', 'of', 'the', 'PDS', 'gene', 'was', 'performed', 'in', 'two', 'consanguineous', 'large', 'families', 'from', 'Southern', 'Tunisia', 'comprising', 'a', 'total', 'of', '23', 'individuals', 'affected', 'with', 'profound', 'congenital', 'deafness', ';', 'the', 'same', 'missense', 'mutation', ',', 'L445W', ',', 'was', 'identified', 'in', 'all', 'affected', 'individuals']"
1411,"['A', 'widened', 'vestibular', 'aqueduct', 'was', 'found', 'in', 'all', 'patients', 'who', 'underwent', 'computed', 'tomography', '(', 'CT', ')', 'scan', 'exploration', 'of', 'the', 'inner', 'ear']"
1412,"['In', 'contrast', ',', 'goiter', 'was', 'present', 'in', 'only', '11', 'affected', 'individuals', ',', 'who', 'interestingly', 'had', 'a', 'normal', 'result', 'of', 'the', 'perchlorate', 'discharge', 'test', 'whenever', 'performed']"
1413,"['The', 'present', 'results', 'question', 'the', 'sensitivity', 'of', 'the', 'perchlorate', 'test', 'for', 'the', 'diagnosis', 'of', 'Pendred', 'syndrome', 'and', 'support', 'the', 'use', 'of', 'a', 'molecular', 'analysis', 'of', 'the', 'PDS', 'gene', 'in', 'the', 'assessment', 'of', 'individuals', 'with', 'severe', 'to', 'profound', 'congenital', 'hearing', 'loss', 'associated', 'with', 'inner', 'ear', 'morphological', 'anomaly', 'even', 'in', 'the', 'absence', 'of', 'a', 'thyroid', 'goiter']"
1414,[]
1415,"['Knobloch', 'syndrome', 'involving', 'midline', 'scalp', 'defect', 'of', 'the', 'frontal', 'region']"
1416,"['We', 'report', 'on', 'a', '4-year-old', 'boy', 'with', 'Knobloch', 'syndrome']"
1417,"['He', 'has', 'vitreoretinal', 'degeneration', ',', 'high', 'myopia', ',', 'cataract', ',', 'telecanthus', ',', 'hypertelorism', ',', 'and', 'a', 'high-arched', 'palate']"
1418,"['He', 'also', 'has', 'a', 'defect', 'of', 'the', 'anterior', 'midline', 'scalp', 'with', 'involvement', 'of', 'the', 'frontal', 'bone', 'as', 'documented', 'by', 'a', 'computed', 'tomography', '(', 'CT', ')', 'scan']"
1419,"['The', 'brain', 'was', 'normal', 'on', 'CT', 'scan', 'and', 'magnetic', 'resonance', 'imaging']"
1420,"['We', 'present', 'a', 'review', 'of', 'the', '23', 'published', 'cases', 'with', 'this', 'syndrome']"
1421,"['Our', 'patient', 'illustrates', 'the', 'importance', 'of', 'investigating', 'for', 'underlying', 'ocular', 'and', 'central', 'nervous', 'system', 'pathology', 'whenever', 'midline', 'scalp', 'defects', 'are', 'present']"
1422,[]
1423,"['The', 'DNA', 'double-strand', 'break', 'repair', 'gene', 'hMRE11', 'is', 'mutated', 'in', 'individuals', 'with', 'an', 'ataxia-telangiectasia-like', 'disorder']"
1424,"['We', 'show', 'that', 'hypomorphic', 'mutations', 'in', 'hMRE11', ',', 'but', 'not', 'in', 'ATM', ',', 'are', 'present', 'in', 'certain', 'individuals', 'with', 'an', 'ataxia-telangiectasia-like', 'disorder', '(', 'ATLD', ')']"
1425,"['The', 'cellular', 'features', 'resulting', 'from', 'these', 'hMRE11', 'mutations', 'are', 'similar', 'to', 'those', 'seen', 'in', 'A-T', 'as', 'well', 'as', 'NBS', 'and', 'include', 'hypersensitivity', 'to', 'ionizing', 'radiation', ',', 'radioresistant', 'DNA', 'synthesis', ',', 'and', 'abrogation', 'of', 'ATM-dependent', 'events', ',', 'such', 'as', 'the', 'activation', 'of', 'Jun', 'kinase', 'following', 'exposure', 'to', 'gamma', 'irradiation']"
1426,"['Although', 'the', 'mutant', 'hMre11', 'proteins', 'retain', 'some', 'ability', 'to', 'interact', 'with', 'hRad50', 'and', 'Nbs1', ',', 'formation', 'of', 'ionizing', 'radiation-induced', 'hMre11', 'and', 'Nbs1', 'foci', 'was', 'absent', 'in', 'hMRE11', 'mutant', 'cells']"
1427,"['These', 'data', 'demonstrate', 'that', 'ATM', 'and', 'the', 'hMre11', '/', 'hRad50', '/', 'Nbs1', 'protein', 'complex', 'act', 'in', 'the', 'same', 'DNA', 'damage', 'response', 'pathway', 'and', 'link', 'hMre11', 'to', 'the', 'complex', 'pathology', 'of', 'A-T']"
1428,[]
1429,"['Mutations', 'in', 'TNFRSF11A,', 'affecting', 'the', 'signal', 'peptide', 'of', 'RANK,', 'cause', 'familial', 'expansile', 'osteolysis']"
1430,"['Familial', 'expansile', 'osteolysis', '(', 'FEO', ',', 'MIM', '174810', ')', 'is', 'a', 'rare', ',', 'autosomal', 'dominant', 'bone', 'disorder', 'characterized', 'by', 'focal', 'areas', 'of', 'increased', 'bone', 'remodelling']"
1431,"['The', 'osteolytic', 'lesions', ',', 'which', 'develop', 'usually', 'in', 'the', 'long', 'bones', 'during', 'early', 'adulthood', ',', 'show', 'increased', 'osteoblast', 'and', 'osteoclast', 'activity']"
1432,"['Our', 'previous', 'linkage', 'studies', 'mapped', 'the', 'gene', 'responsible', 'for', 'FEO', 'to', 'an', 'interval', 'of', 'less', 'than', '5', 'cM', 'between', 'D18S64', 'and', 'D18S51', 'on', 'chromosome', '18q21']"
1433,"['2-21', '2-21']"
1434,"['3', 'in', 'a', 'large', 'Northern', 'Irish', 'family']"
1435,"['The', 'gene', 'encoding', 'receptor', 'activator', 'of', 'nuclear', 'factor-kappa', 'B', '(', 'RANK', ';', 'ref']"
1436,"['5', ')', ',', 'TNFRSF11A', ',', 'maps', 'to', 'this', 'region']"
1437,"['RANK', 'is', 'essential', 'in', 'osteoclast', 'formation']"
1438,"['We', 'identified', 'two', 'heterozygous', 'insertion', 'mutations', 'in', 'exon', '1', 'of', 'TNFRSF11A', 'in', 'affected', 'members', 'of', 'four', 'families', 'with', 'FEO', 'or', 'familial', 'Paget', 'disease', 'of', 'bone', '(', 'PDB', ')']"
1439,"['One', 'was', 'a', 'duplication', 'of', '18', 'bases', 'and', 'the', 'other', 'a', 'duplication', 'of', '27', 'bases', ',', 'both', 'of', 'which', 'affected', 'the', 'signal', 'peptide', 'region', 'of', 'the', 'RANK', 'molecule']"
1440,"['Expression', 'of', 'recombinant', 'forms', 'of', 'the', 'mutant', 'RANK', 'proteins', 'revealed', 'perturbations', 'in', 'expression', 'levels', 'and', 'lack', 'of', 'normal', 'cleavage', 'of', 'the', 'signal', 'peptide']"
1441,"['Both', 'mutations', 'caused', 'an', 'increase', 'in', 'RANK-mediated', 'nuclear', 'factor-kappaB', '(', 'NF-kappaB', ')', 'signalling', 'in', 'vitro', ',', 'consistent', 'with', 'the', 'presence', 'of', 'an', 'activating', 'mutation']"
1442,"['Cardiac', 'Na(+)', 'channel', 'dysfunction', 'in', 'Brugada', 'syndrome', 'is', 'aggravated', 'by', 'beta(1)-subunit.', 'BACKGROUND', 'Mutations', 'in', 'the', 'gene', 'encoding', 'the', 'human', 'cardiac', 'Na', '(', '+', ')', 'channel', 'alpha-subunit', '(', 'hH1', ')', 'are', 'responsible', 'for', 'chromosome', '3-linked', 'congenital', 'long-QT', 'syndrome', '(', 'LQT3', ')', 'and', 'idiopathic', 'ventricular', 'fibrillation', '(', 'IVF', ')']"
1443,"['An', 'auxiliary', 'beta', '(', '1', ')', '-subunit', ',', 'widely', 'expressed', 'in', 'excitable', 'tissues', ',', 'shifts', 'the', 'voltage', 'dependence', 'of', 'steady-state', 'inactivation', 'toward', 'more', 'negative', 'potentials', 'and', 'restores', 'normal', 'gating', 'kinetics', 'of', 'brain', 'and', 'skeletal', 'muscle', 'Na', '(', '+', ')', 'channels', 'expressed', 'in', 'Xenopus', 'oocytes', 'but', 'has', 'little', 'if', 'any', 'functional', 'effect', 'on', 'the', 'cardiac', 'isoform']"
1444,"['Here', ',', 'we', 'characterize', 'the', 'altered', 'effects', 'of', 'a', 'human', 'beta', '(', '1', ')', '-subunit', '(', 'hbeta', '(', '1', ')', ')', 'on', 'the', 'heterologously', 'expressed', 'hH1', 'mutation', '(', 'T1620M', ')', 'previously', 'associated', 'with', 'IVF']"
